order,list,item,cond,target_position,prepositions,order_of_mention,target_number,comp_number,context,firstDisplay,secondDisplay,expTrials,pair_ID,comp_unique_ID1,animacy_cong,target_gender,comp1_animacy,target,competitor,recordingName
34,1,X40,9,,,1,singular,,There is a thief below the swing and he is on Number 4.,X40_9_1.jpg,X40_9_2.jpg,N,,,,,,is,thief,N_List1_Order34_Item_X40_Cond9
34,2,X40,9,,,1,singular,,There is a thief below the swing and he is on Number 4.,X40_9_1.jpg,X40_9_2.jpg,N,,,,,,is,thief,N_List2_Order34_Item_X40_Cond9
34,3,X40,9,,,1,singular,,There is a thief below the swing and he is on Number 4.,X40_9_1.jpg,X40_9_2.jpg,N,,,,,,is,thief,N_List3_Order34_Item_X40_Cond9
34,4,X40,9,,,1,singular,,There is a thief below the swing and he is on Number 4.,X40_9_1.jpg,X40_9_2.jpg,N,,,,,,is,thief,N_List4_Order34_Item_X40_Cond9
35,1,X02,9,,,1,plural,,The keyboards are on Number 3 and they are above the pencil.,X02_9_1.jpg,X02_9_2.jpg,N,,,,,,keyboards,on,N_List1_Order35_Item_X02_Cond9
35,2,X02,9,,,1,plural,,The keyboards are on Number 3 and they are above the pencil.,X02_9_1.jpg,X02_9_2.jpg,N,,,,,,keyboards,on,N_List2_Order35_Item_X02_Cond9
35,3,X02,9,,,1,plural,,The keyboards are on Number 3 and they are above the pencil.,X02_9_1.jpg,X02_9_2.jpg,N,,,,,,keyboards,on,N_List3_Order35_Item_X02_Cond9
35,4,X02,9,,,1,plural,,The keyboards are on Number 3 and they are above the pencil.,X02_9_1.jpg,X02_9_2.jpg,N,,,,,,keyboards,on,N_List4_Order35_Item_X02_Cond9
36,1,3,2,1,next-to,1,plural,singular,The girls are next to the grandfather and they are on Number 1.,E03_2_1.jpg,E03_2_2.jpg,Y,11,3,same,fem,animate,girl,grandfather,Y_List1_Order36_Item_3_Cond2
36,2,3,4,1,next-to,1,plural,plural,The girls are next to the grandfathers and they are on Number 1.,E03_4_1.jpg,E03_4_2.jpg,Y,11,3,same,fem,animate,girl,grandfathers,Y_List2_Order36_Item_3_Cond4
